RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
615206,201614821,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,1/13/2016 14:32,1/13/2016 2:00,1/13/2016 10:00,36XX BLOCK OF 33 AV S,R,R2,10100.5017,-122.291008,47.57075882,"(47.57075882, -122.291007996)",1,2016
621629,201614815,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 14:30,1/13/2016 14:30,,25XX BLOCK OF NW 80 ST,J,J2,3100.2008,-122.3892441,47.68679047,"(47.686790466, -122.38924408)",1,2016
613827,201614812,4899,0,OBSTRUCT,4800,OBSTRUCT,1/13/2016 14:30,1/13/2016 14:30,,8XX BLOCK OF E PIKE ST,E,E2,8400.1007,-122.3214493,47.61407089,"(47.614070892, -122.32144928)",1,2016
616696,201614649,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 14:29,1/13/2016 12:47,,55XX BLOCK OF 22 AV S,S,S1,10402.3008,-122.30513,47.55222702,"(47.55222702, -122.305130005)",1,2016
615074,201614524,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/13/2016 13:53,1/13/2016 10:30,1/13/2016 10:45,55XX BLOCK OF 25 AV S,S,S1,10401.2016,-122.3006744,47.55145645,"(47.551456451, -122.300674438)",1,2016
623089,201614747,2303,0,THEFT-SHOPLIFT,2300,SHOPLIFTING,1/13/2016 13:52,1/13/2016 10:36,1/13/2016 11:25,132XX BLOCK OF AURORA AV N,N,N2,401.1009,-122.3449936,47.72503662,"(47.725036621, -122.344993591)",1,2016
623043,2016900547,2305,0,THEFT-CARPROWL,2300,CAR PROWL,1/13/2016 13:49,1/10/2016 18:00,1/11/2016 6:00,23XX BLOCK OF YALE AV E,D,D3,6100.4005,-122.3271103,47.64088059,"(47.640880585, -122.327110291)",1,2016
613506,201614732,5015,1,WARRARR-FELONY,5000,WARRANT ARREST,1/13/2016 13:47,1/13/2016 13:47,,20XX BLOCK OF 3 AV,M,M2,7200.1067,-122.3415451,47.61278153,"(47.612781525, -122.341545105)",1,2016
621527,201614714,2303,0,THEFT-SHOPLIFT,2300,SHOPLIFTING,1/13/2016 13:33,1/13/2016 13:10,,6XX BLOCK OF PINE ST,M,M2,8200.1002,-122.334816,47.61236954,"(47.612369537, -122.334815979)",1,2016
615130,201614714,2303,0,THEFT-SHOPLIFT,2300,SHOPLIFTING,1/13/2016 13:33,1/13/2016 13:10,,6XX BLOCK OF PINE ST,M,M2,8200.1002,-122.334816,47.61236954,"(47.612369537, -122.334815979)",1,2016
615843,201614639,5707,0,TRESPASS,5700,TRESPASS,1/13/2016 13:26,1/13/2016 12:38,,85XX BLOCK OF AURORA AV N,N,N3,1800.2011,-122.3445282,47.6909256,"(47.690925598, -122.344528198)",1,2016
641774,201614693,X,91,MALICIOUS HARASSMENT,X,THREATS,1/13/2016 13:21,1/13/2016 13:21,,E INTERLAKEN BV / DELMAR DR E,C,C2,6200.3001,-122.3171844,47.64206314,"(47.642063141, -122.317184448)",1,2016
617281,201614681,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,1/13/2016 13:04,1/13/2016 12:55,,2XX BLOCK OF 16 AV E,C,C1,7600.301,-122.3113937,47.62008667,"(47.62008667, -122.311393738)",1,2016
621624,201614675,2699,1,FRAUD-OTHER,2600,FRAUD,1/13/2016 13:03,1/11/2016 14:59,1/13/2016 13:03,45XX BLOCK OF RAINIER AV S,R,R2,10100.3015,-122.2875443,47.56175613,"(47.561756134, -122.28754425)",1,2016
613565,201614672,5015,2,WARRARR-MISDEMEANOR,5000,WARRANT ARREST,1/13/2016 13:00,1/13/2016 13:00,,2XX BLOCK OF PIKE ST,M,M3,8100.2007,-122.3383484,47.60951614,"(47.609516144, -122.338348389)",1,2016
626124,201614660,2606,1,FRAUD-CHECK,2600,FRAUD,1/13/2016 12:54,1/13/2016 12:54,,6XX BLOCK OF S CHARLESTOWN ST,O,O2,9300.3121,-122.3252029,47.56980896,"(47.56980896, -122.325202942)",1,2016
613503,201614646,5015,1,WARRARR-FELONY,5000,WARRANT ARREST,1/13/2016 12:47,1/13/2016 12:47,,2XX BLOCK OF PIKE ST,M,M3,8100.2007,-122.3383484,47.60951614,"(47.609516144, -122.338348389)",1,2016
641775,201614650,1305,0,ASSLT-AGG-WEAPON,1300,ASSAULT,1/13/2016 12:46,1/13/2016 12:46,,50XX BLOCK OF CALIFORNIA AV SW,W,W2,10500.5018,-122.3869019,47.55697632,"(47.556976318, -122.386901855)",1,2016
